Vuelo,Compañía,Fecha,scheduled,arrival,Retraso,late?,scheduled_hour,morning?,Origen
JKK6503,SPANAIR,04/11/2013,20:30,19:30,-60,FALSE,20,FALSE,BILBAO
UX3927,AIR EUROPA,04/11/2013,20:30,19:30,-60,FALSE,20,FALSE,BILBAO
JKK6503,SPANAIR,04/11/2013,20:30,19:30,-60,FALSE,20,FALSE,BILBAO
UX3927,AIR EUROPA,04/11/2013,20:30,19:30,-60,FALSE,20,FALSE,BILBAO
JKK6503,SPANAIR,04/11/2013,20:30,19:30,-60,FALSE,20,FALSE,BILBAO
UX3927,AIR EUROPA,04/11/2013,20:30,19:30,-60,FALSE,20,FALSE,BILBAO
IBE5869,IBERIA,12/04/2011,23:50,22:52,-58,FALSE,23,FALSE,CIUDAD REAL
VLG1999,VUELING AIRLINES,12/04/2011,23:50,22:52,-58,FALSE,23,FALSE,CIUDAD REAL
IBE5869,IBERIA,12/04/2011,23:50,22:52,-58,FALSE,23,FALSE,CIUDAD REAL
VLG1999,VUELING AIRLINES,12/04/2011,23:50,22:52,-58,FALSE,23,FALSE,CIUDAD REAL
RYR6367,RYANAIR,12/04/2011,23:40,23:03,-37,FALSE,23,FALSE,MILAN /ORIO AL SERIO
RYR6367,RYANAIR,12/04/2011,23:40,23:03,-37,FALSE,23,FALSE,MILAN /ORIO AL SERIO
EZY3031,EASYJET AIRLINE CO. LTD.,12/04/2011,13:15,12:40,-35,FALSE,13,FALSE,LONDRES /STANSTED
EZY3031,EASYJET AIRLINE CO. LTD.,12/04/2011,,12:40,-35,FALSE,13,FALSE,LONDRES /STANSTED
RYR6380,RYANAIR,12/04/2011,22:25,21:52,-33,FALSE,22,FALSE,SANTIAGO DE COMPOSTELA
RYR6380,RYANAIR,12/04/2011,22:25,21:52,-33,FALSE,22,FALSE,SANTIAGO DE COMPOSTELA
RYR6349,RYANAIR,04/11/2013,14:40,14:10,-30,FALSE,14,FALSE,VENECIA / TREVISO / SAN ANGELO
RYR6399,RYANAIR,12/04/2011,23:50,23:20,-30,FALSE,23,FALSE,SEVILLA
RYR6399,RYANAIR,12/04/2011,23:50,23:20,-30,FALSE,23,FALSE,SEVILLA
EZY6671,EASYJET AIRLINE CO. LTD.,04/11/2013,13:05,12:39,-26,FALSE,13,FALSE,BELFAST
RYR6375,RYANAIR,12/04/2011,12:45,12:20,-25,FALSE,12,TRUE,PARIS /BEAUVAIS-TILLE
RYR8137,RYANAIR,12/04/2011,13:05,12:40,-25,FALSE,13,FALSE,IBIZA
RYR8137,RYANAIR,04/11/2013,13:10,12:45,-25,FALSE,13,FALSE,IBIZA
BLF5731,"BLUE1 OY, FINLAND",04/11/2013,14:40,14:15,-25,FALSE,14,FALSE,BRUSELAS
ETD7273,ETIHAD AIRWAYS,04/11/2013,14:40,14:15,-25,FALSE,14,FALSE,BRUSELAS
JAI6003,JET AIRWAYS (India) Ltd,04/11/2013,14:40,14:15,-25,FALSE,14,FALSE,BRUSELAS
JKK9254,SPANAIR,04/11/2013,14:40,14:15,-25,FALSE,14,FALSE,BRUSELAS
LH5650,LUFTHANSA,04/11/2013,14:40,14:15,-25,FALSE,14,FALSE,BRUSELAS
SN3703,BRUSSELS AIRLINES N.V./S.A.,04/11/2013,14:40,14:15,-25,FALSE,14,FALSE,BRUSELAS
UAL9971,UNITED AIRLINES,04/11/2013,14:40,14:15,-25,FALSE,14,FALSE,BRUSELAS
AZ078,ALITALIA COMPAGNIA AEREA ITALIANA SPA,12/04/2011,23:20,22:55,-25,FALSE,23,FALSE,ROMA /FIUMICINO
AZ078,ALITALIA COMPAGNIA AEREA ITALIANA SPA,12/04/2011,23:20,22:55,-25,FALSE,23,FALSE,ROMA /FIUMICINO
RYR6323,RYANAIR,12/04/2011,23:45,23:20,-25,FALSE,23,FALSE,MOSS / RYGGE
RYR6323,RYANAIR,12/04/2011,23:45,23:20,-25,FALSE,23,FALSE,MOSS / RYGGE
RYR6375,RYANAIR,12/04/2011,,12:20,-25,FALSE,12,TRUE,PARIS /BEAUVAIS-TILLE
RYR8137,RYANAIR,12/04/2011,,12:40,-25,FALSE,13,FALSE,IBIZA
EZY8581,EASYJET AIRLINE CO. LTD.,12/04/2011,23:10,22:47,-23,FALSE,23,FALSE,LONDRES /GATWICK
EZY8581,EASYJET AIRLINE CO. LTD.,12/04/2011,23:10,22:47,-23,FALSE,23,FALSE,LONDRES /GATWICK
IBE5773,IBERIA,12/04/2011,11:50,11:28,-22,FALSE,11,TRUE,AMSTERDAM/SCHIPHOL
VLG8301,VUELING AIRLINES,12/04/2011,11:50,11:28,-22,FALSE,11,TRUE,AMSTERDAM/SCHIPHOL
DL9602,DELTA AIR LINES,12/04/2011,12:15,11:53,-22,FALSE,12,TRUE,AMSTERDAM/SCHIPHOL
KL1671,K.L.M. ROYAL DUTCH AIRLINES,12/04/2011,12:15,11:53,-22,FALSE,12,TRUE,AMSTERDAM/SCHIPHOL
DL9602,DELTA AIR LINES,12/04/2011,,11:53,-22,FALSE,12,TRUE,AMSTERDAM/SCHIPHOL
IBE5773,IBERIA,12/04/2011,,11:28,-22,FALSE,11,TRUE,AMSTERDAM/SCHIPHOL
KL1671,K.L.M. ROYAL DUTCH AIRLINES,12/04/2011,,11:53,-22,FALSE,12,TRUE,AMSTERDAM/SCHIPHOL
VLG8301,VUELING AIRLINES,12/04/2011,,11:28,-22,FALSE,11,TRUE,AMSTERDAM/SCHIPHOL
RYR6333,RYANAIR,12/04/2011,11:45,11:24,-21,FALSE,11,TRUE,SANTIAGO DE COMPOSTELA
YW8853,AIR NOSTRUM,12/04/2011,12:25,12:04,-21,FALSE,12,TRUE,SAN SEBASTIAN
IBE5936,IBERIA,12/04/2011,22:30,22:09,-21,FALSE,22,FALSE,PARIS /ORLY
VLG8092,VUELING AIRLINES,12/04/2011,22:30,22:09,-21,FALSE,22,FALSE,PARIS /ORLY
IBE5936,IBERIA,12/04/2011,22:30,22:09,-21,FALSE,22,FALSE,PARIS /ORLY
VLG8092,VUELING AIRLINES,12/04/2011,22:30,22:09,-21,FALSE,22,FALSE,PARIS /ORLY
RYR6333,RYANAIR,12/04/2011,,11:24,-21,FALSE,11,TRUE,SANTIAGO DE COMPOSTELA
YW8853,AIR NOSTRUM,12/04/2011,,12:04,-21,FALSE,12,TRUE,SAN SEBASTIAN
NAX3656,NORWEGIAN AIR SHUTTLE A.S.,12/04/2011,12:00,11:40,-20,FALSE,12,TRUE,COPENHAGUE
BAW8471,BRITISH AIRWAYS,04/11/2013,12:20,12:00,-20,FALSE,12,TRUE,LONDRES /LONDON CITY APT.
IBE7467,IBERIA,04/11/2013,12:20,12:00,-20,FALSE,12,TRUE,LONDRES /LONDON CITY APT.
