cartodb_id,gid,subclass,x,y,length,area,angle,name,cod_postal,created_at,updated_at,the_geom
1,1,cpspain2006_1,-2.67637,42.84579,2825.250432,376785.000000,0,,01001,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.676371,42.845795],[-2.675949,42.846838],[-2.676093,42.847433],[-2.67646,42.847479],[-2.675642,42.849431],[-2.675295,42.850258],[-2.674904,42.850221],[-2.674433,42.851355],[-2.673547,42.852154],[-2.672876,42.851836],[-2.67288,42.853295],[-2.670583,42.852514],[-2.670622,42.852217],[-2.670415,42.851955],[-2.670098,42.851783],[-2.669734,42.851224],[-2.670052,42.851117],[-2.669603,42.850368],[-2.669224,42.850421],[-2.667908,42.847031],[-2.667958,42.846905],[-2.668095,42.846348],[-2.669122,42.846477],[-2.669198,42.846126],[-2.6708,42.84631],[-2.670864,42.84577],[-2.67369,42.84603],[-2.674031,42.846238],[-2.676371,42.845795]]]]}"
2,2,cpspain2006_1,-2.67058,42.85251,10430.153880,2638569.000000,0,,01002,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.670583,42.852514],[-2.670903,42.854658],[-2.670302,42.854801],[-2.6687,42.854544],[-2.667269,42.854333],[-2.66335,42.857068],[-2.662701,42.859308],[-2.662577,42.859533],[-2.65724,42.85515],[-2.639226,42.860921],[-2.626005,42.861184],[-2.623656,42.860835],[-2.648767,42.849217],[-2.65407,42.848521],[-2.656544,42.848187],[-2.657524,42.848099],[-2.657535,42.850567],[-2.658977,42.851003],[-2.658827,42.851588],[-2.660819,42.851972],[-2.660942,42.849758],[-2.665926,42.849178],[-2.665434,42.847294],[-2.665888,42.847215],[-2.665828,42.846926],[-2.667407,42.846814],[-2.667958,42.846905],[-2.667908,42.847031],[-2.669224,42.850421],[-2.669603,42.850368],[-2.670052,42.851117],[-2.669734,42.851224],[-2.670098,42.851783],[-2.670415,42.851955],[-2.670622,42.852217],[-2.670583,42.852514]]]]}"
1116,1076,cpspain2006_1,1.84002,41.46364,10143.968170,5244623.000000,0,,08782,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[1.840022,41.463642],[1.833686,41.470824],[1.832888,41.476818],[1.835142,41.481846],[1.832447,41.49614],[1.832625,41.496447],[1.834952,41.499059],[1.838258,41.498425],[1.841766,41.496971],[1.844688,41.491203],[1.861056,41.482714],[1.860749,41.482133],[1.852394,41.474959],[1.848059,41.465806],[1.846768,41.464861],[1.841521,41.463354],[1.840022,41.463642]]]]}"
3,3,cpspain2006_1,-2.66375,42.84188,5897.312905,1445625.000000,0,,01003,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.66375,42.841877],[-2.665013,42.845969],[-2.66752,42.846274],[-2.667407,42.846814],[-2.665828,42.846926],[-2.665888,42.847215],[-2.665434,42.847294],[-2.665926,42.849178],[-2.660942,42.849758],[-2.660819,42.851972],[-2.658827,42.851588],[-2.658977,42.851003],[-2.657535,42.850567],[-2.657524,42.848099],[-2.656544,42.848187],[-2.65407,42.848521],[-2.648767,42.849217],[-2.64511,42.848899],[-2.644124,42.84795],[-2.64372,42.843654],[-2.65624,42.84127],[-2.66054,42.840499],[-2.661287,42.840402],[-2.662278,42.840324],[-2.662853,42.840308],[-2.66322,42.840318],[-2.66375,42.841877]]]]}"
4,4,cpspain2006_1,-2.66732,42.8407,2421.735671,216318.000000,0,,01004,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.667318,42.840699],[-2.667103,42.841896],[-2.667372,42.841915],[-2.667186,42.842527],[-2.667968,42.842655],[-2.668196,42.843475],[-2.668759,42.843513],[-2.668644,42.844431],[-2.670607,42.845751],[-2.670864,42.84577],[-2.6708,42.84631],[-2.669198,42.846126],[-2.669122,42.846477],[-2.668095,42.846348],[-2.667958,42.846905],[-2.667407,42.846814],[-2.66752,42.846274],[-2.665013,42.845969],[-2.66375,42.841877],[-2.664277,42.841753],[-2.663844,42.840365],[-2.664847,42.840431],[-2.666988,42.840662],[-2.667318,42.840699]]]]}"
5,5,cpspain2006_1,-2.66732,42.8407,2838.979030,323084.500000,0,,01005,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.667318,42.840699],[-2.677285,42.841808],[-2.677089,42.841844],[-2.676116,42.843039],[-2.675099,42.843387],[-2.675061,42.843648],[-2.675537,42.84373],[-2.676065,42.843435],[-2.676261,42.843498],[-2.674869,42.845196],[-2.676433,42.84566],[-2.676371,42.845795],[-2.674031,42.846238],[-2.67369,42.84603],[-2.670864,42.84577],[-2.670607,42.845751],[-2.668644,42.844431],[-2.668759,42.843513],[-2.668196,42.843475],[-2.667968,42.842655],[-2.667186,42.842527],[-2.667372,42.841915],[-2.667103,42.841896],[-2.667318,42.840699]]]]}"
6,6,cpspain2006_1,-2.64372,42.84365,9684.722873,2678629.500000,0,,01006,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.64372,42.843654],[-2.652815,42.836658],[-2.644297,42.834803],[-2.647208,42.828491],[-2.650679,42.829276],[-2.652874,42.830471],[-2.655859,42.832804],[-2.658518,42.832037],[-2.678993,42.833312],[-2.680936,42.833903],[-2.680518,42.834226],[-2.67978,42.834917],[-2.679557,42.835466],[-2.679675,42.836358],[-2.679582,42.837708],[-2.678274,42.837533],[-2.678111,42.838262],[-2.677911,42.83918],[-2.677697,42.84017],[-2.677446,42.841367],[-2.677348,42.841475],[-2.677285,42.841808],[-2.667318,42.840699],[-2.666988,42.840662],[-2.664847,42.840431],[-2.663844,42.840365],[-2.664277,42.841753],[-2.66375,42.841877],[-2.66322,42.840318],[-2.662853,42.840308],[-2.662278,42.840324],[-2.661287,42.840402],[-2.66054,42.840499],[-2.65624,42.84127],[-2.64372,42.843654]]]]}"
4953,4844,cpspain2006_1,-4.60994,42.78919,8790.861510,3704405.000000,0,,34850,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-4.609944,42.789187],[-4.611938,42.810402],[-4.583271,42.817195],[-4.583901,42.809262],[-4.609944,42.789187]]]]}"
26,24,cpspain2006_1,-2.26946,42.80201,13628.633008,7899900.500000,0,,01200,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.269461,42.802011],[-2.296704,42.817464],[-2.296578,42.820966],[-2.25101,42.837193],[-2.235316,42.835837],[-2.235773,42.83448],[-2.25291,42.820671],[-2.267651,42.8134],[-2.27037,42.808915],[-2.269461,42.802011]]]]}"
30,28,cpspain2006_1,-2.38997,42.91909,5497.361571,1795983.000000,0,,01250,2011-04-26 08:27:24.13324,2011-04-26 08:27:26.24823,"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.389966,42.919091],[-2.371229,42.919413],[-2.378704,42.904703],[-2.38919,42.907173],[-2.389966,42.919091]]]]}"
