Vuelo,Compañía,Estado,Retraso,Fecha,Hora Programada,Origen
A31762,AEGEAN AIRLINES,10:10,0.0,13/04/11,10:10,LISBOA
A31762,AEGEAN AIRLINES,10:20,10.0,12/04/11,10:10,LISBOA
A3680,AEGEAN AIRLINES,10:42,-18.0,12/04/11,11:00,ATENAS
A3680,AEGEAN AIRLINES,11:00,0.0,13/04/11,11:00,ATENAS
AA152,AMERICAN AIRLINES,10:25,0.0,13/04/11,10:25,NUEVA YORK-J.F.KENNEDY
AA152,AMERICAN AIRLINES,11:11,46.0,12/04/11,10:25,NUEVA YORK-J.F.KENNEDY
AA5647,AMERICAN AIRLINES,11:00,0.0,13/04/11,11:00,MADRID-BARAJAS
AA5647,AMERICAN AIRLINES,11:18,18.0,12/04/11,11:00,MADRID-BARAJAS
AA5688,AMERICAN AIRLINES,12:55,0.0,12/04/11,12:55,MADRID-BARAJAS
AA5688,AMERICAN AIRLINES,12:55,0.0,13/04/11,12:55,MADRID-BARAJAS
AA5689,AMERICAN AIRLINES,11:55,0.0,13/04/11,11:55,MADRID-BARAJAS
AA5689,AMERICAN AIRLINES,12:20,25.0,12/04/11,11:55,MADRID-BARAJAS
AA6287,AMERICAN AIRLINES,14:10,-10.0,12/04/11,14:20,LONDRES / HEATHROW
AA6290,AMERICAN AIRLINES,10:15,0.0,13/04/11,10:15,LONDRES / HEATHROW
AA6292,AMERICAN AIRLINES,18:30,0.0,12/04/11,18:30,LONDRES / HEATHROW
AA6294,AMERICAN AIRLINES,21:25,0.0,12/04/11,21:25,LONDRES / HEATHROW
AA6295,AMERICAN AIRLINES,12:25,0.0,13/04/11,12:25,LONDRES / HEATHROW
AA6295,AMERICAN AIRLINES,13:05,40.0,12/04/11,12:25,LONDRES / HEATHROW
AA6297,AMERICAN AIRLINES,19:50,0.0,12/04/11,19:50,LONDRES / HEATHROW
AA6748,AMERICAN AIRLINES,9:25,,13/04/11,9:25,LONDRES / HEATHROW
AA8092,AMERICAN AIRLINES,9:10,,13/04/11,9:10,VIENA
AF1148,AIR FRANCE,9:20,,13/04/11,9:20,PARIS /CHARLES DE GAULLE
AF1230,AIR FRANCE,13:50,5.0,12/04/11,13:45,PARIS /ORLY
AF1330,AIR FRANCE,18:35,0.0,12/04/11,18:35,PARIS /ORLY
AF1348,AIR FRANCE,11:15,0.0,13/04/11,11:15,PARIS /CHARLES DE GAULLE
AF1348,AIR FRANCE,11:06,-9.0,12/04/11,11:15,PARIS /CHARLES DE GAULLE
AF1648,AIR FRANCE,14:35,0.0,12/04/11,14:35,PARIS /CHARLES DE GAULLE
AF1948,AIR FRANCE,17:25,0.0,12/04/11,17:25,PARIS /CHARLES DE GAULLE
AF2048,AIR FRANCE,19:30,0.0,12/04/11,19:30,PARIS /CHARLES DE GAULLE
AF2148,AIR FRANCE,20:45,0.0,12/04/11,20:45,PARIS /CHARLES DE GAULLE
