cartodb_id,gid,id_0,iso,name_0,id_1,name_1,id_2,name_2,id_3,name_3,id_4,name_4,varname_4,type_4,engtype_4,validfr_4,validto_4,remarks_4,shape_leng,shape_area,latitude,longitude,center_latitude,center_longitude,created_at,updated_at
65,60,70,ESP,Spain,935,Andalucía,13600,Huelva,24290,n.a. (133),9620,Aroche,,Municipality,Municipality,Unknown,Present,,1.20951568421,0.0510264024250,38,-7,37.9442586,-6.954265,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
75,71,70,ESP,Spain,935,Andalucía,13600,Huelva,24290,n.a. (133),9631,Encinasola,,Municipality,Municipality,Unknown,Present,,0.731129933568,0.0182960140485,38,-7,38.1352227,-6.8721409,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
369,378,70,ESP,Spain,948,Islas Canarias,13640,Las Palmas,24587,n.a. (144),16898,Frontera,,Municipality,Municipality,Unknown,Present,,0.951815783011,0.0151972053085,28,-18,27.7530629,-18.0129338,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
266,257,70,ESP,Spain,938,Castilla y León,13616,Zamora,24410,n.a. (270),13025,Trabazos,,Municipality,Municipality,Unknown,Present,,0.630731940052,0.0101056858040,42,-7,41.7471766,-6.4929513,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
6171,6158,70,ESP,Spain,942,Comunidad de Madrid,13628,Madrid,24493,n.a. (178),15161,Moraleja de Enmedio,,Municipality,Municipality,Unknown,Present,,0.299921453980,0.00331250704900,40,-4,40.2603291,-3.8614119,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
885,861,70,ESP,Spain,938,Castilla y León,13615,Valladolid,24405,n.a. (265),12846,Mojados,,Municipality,Municipality,Unknown,Present,,0.353414067431,0.00495873789150,41,-5,41.4319128,-4.66421,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1878,1842,70,ESP,Spain,937,Cantabria,13607,Cantabria,24338,Asón-Agüera,10749,Villaverde de Trucíos,,Municipality,Municipality,Unknown,Present,,0.228289011266,0.00217753667100,43,-3,43.2452778,-3.2602778,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
7689,7647,70,ESP,Spain,946,Galicia,13638,Pontevedra,24576,n.a. (209),16781,O Grove,,Municipality,Municipality,Unknown,Present,,0.604367991084,0.00241289016400,42,-9,42.4936547,-8.8653396,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
6582,6577,70,ESP,Spain,944,Comunidad Valenciana,13630,Alicante,24509,Comtat,15623,Benimarfull,Binimarfull,Municipality,Municipality,Unknown,Present,,0.101885170067,0.000564597576500,39,0,38.7751037,-0.3934855,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
122,118,70,ESP,Spain,936,Aragón,13604,Huesca,24318,n.a. (127),10070,Estadilla,,Municipality,Municipality,Unknown,Present,,0.376324786626,0.00508013154550,42,0,42.0560027,0.2439407,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
