id_evento,nombre,fecha,artistas,horario,club_id,club_nombre,club_imagen,direccion,poblacion,provincia,pais,estilo
169176,Fabriclive,2011-02-18,"R1: DUB POLICE: Caspa + Youngsta + Emalkay + The Others + Orien + KGB + LD + Rod Azlan + Dread MC + Ken Mac + Toast
R2: BREAKBEAT KAOS: Adam F + DJ Fresh + Brookes Brothers + Danny Byrd + Culture Shock
R3: BUTTERZ: Elijah & Skilliam + Logan Sama + Terror Danjah + Swindle + Kozzie
",22:00-06:00h,709,Fabric,fabric_logo.jpg,77a Charterhouse St.,London,Extranjero,UK,Breaks
170290,"",2011-02-18,Laurent Garnier Lbs Tour Feat Benjamin Rippert & Scan X,22:00h,892,Zouk,Zouk_Singapore.jpg,17 Jiak Kim Street,Singapur,Extranjero,Singapur,Techno
170830,"",2011-02-18,Yousef + Mary Zander,23:00h,992,Warung,Warung_Brasil_140.jpg,Av. José Medeiros Vieira,Praia Brava. Itajaí,Extranjero,Brasil,House
170941,"",2011-02-18,Hernan Cattaneo,22:00-06:00h,dog,Pacha New York,Pacha_NewYork_140.jpg,618 West 46th St,Nueva York,Extranjero,USA,House
171518,"",2011-02-18,"Mauro Picotto + CARLO ASTUTI + DAVID MOSES + DJ GAX + NO REQUESTS
",21:30-04:00h,941,The Vanguard,nologo.jpg,6021 Hollywood Blvd.,"Los Angeles, Ca",Extranjero,USA,House
172554,"",2011-02-18,Tobi Neumann + Domenico D'Agnelli + Alma Gold,23:00h,1949,Chaca Chaca,ChacaChaca_Munich_140.jpg,Landwherstrasse 16,Munich,Extranjero,Alemania,Techno
172841,Cab Drivers Night Ride,2011-02-18,Zky + Daniel Paul + Yossi Amoyal,00:00h,2428,Suicide Circus,nologo.jpg,Revaler Strasse 99,Berlín,Extranjero,Alemania,Techno
172873,5 Years Raum Part 2,2011-02-18,Fatboy Slim + Will Deluxe,00:00h,1952,Raum,Raum_BCN.jpg,Tarragona 141,Barcelona,Barcelona,España,Techno
172970,"",2011-02-18,"21.30h Concierto: Moya Kalongo (Entrada: 10 )
23.00h Blow Up Dj + Pablo Sánchez",21:30-06:00h,1765,Marula Café,MarulaCafe_Barcelona_140.jpg,Escudellers 49,Barcelona,Barcelona,España,Rare Groove
172979,"",2011-02-18,"23:00h The Billy Jeans (Concierto)
00:00h Dj Vila xxx 








",22:00-06:00h,1299,Komplot,Komplot_SanSebastian_140.jpg,Pedro Egaña 5,San Sebastián,Guipúzcoa,España,House
