CBSA Code,County/County Equivalent,ST,State Name,County_ST,CBSA Title,Metropolitan/Micropolitan Statistical Area,2012 pop estimate,,
10100,Edmunds County,SD,South Dakota,Edmunds County SD,"Aberdeen, SD",Micropolitan Statistical Area,"4,026",,
10140,Grays Harbor County,WA,Washington,Grays Harbor County WA,"Aberdeen, WA",Micropolitan Statistical Area,"71,692",,
10180,Callahan County,TX,Texas,Callahan County TX,"Abilene, TX",Metropolitan Statistical Area,"13,517",,
10180,Jones County,TX,Texas,Jones County TX,"Abilene, TX",Metropolitan Statistical Area,"19,973",,
10180,Taylor County,TX,Texas,Taylor County TX,"Abilene, TX",Metropolitan Statistical Area,"133,473",,
10220,Pontotoc County,OK,Oklahoma,Pontotoc County OK,"Ada, OK",Micropolitan Statistical Area,"37,958",,
10300,Lenawee County,MI,Michigan,Lenawee County MI,"Adrian, MI",Micropolitan Statistical Area,"98,987",,
10420,Portage County,OH,Ohio,Portage County OH,"Akron, OH",Metropolitan Statistical Area,"161,451",,
10420,Summit County,OH,Ohio,Summit County OH,"Akron, OH",Metropolitan Statistical Area,"540,811",,
10460,Otero County,NM,New Mexico,Otero County NM,"Alamogordo, NM",Micropolitan Statistical Area,"66,041",,
10500,Baker County,GA,Georgia,Baker County GA,"Albany, GA",Metropolitan Statistical Area,"3,366",,
10500,Terrell County,GA,Georgia,Terrell County GA,"Albany, GA",Metropolitan Statistical Area,"9,045",,
10500,Worth County,GA,Georgia,Worth County GA,"Albany, GA",Metropolitan Statistical Area,"21,741",,
10500,Lee County,GA,Georgia,Lee County GA,"Albany, GA",Metropolitan Statistical Area,"28,746",,
10500,Dougherty County,GA,Georgia,Dougherty County GA,"Albany, GA",Metropolitan Statistical Area,"94,501",,
10540,Linn County,OR,Oregon,Linn County OR,"Albany, OR",Metropolitan Statistical Area,"118,360",,
10580,Schoharie County,NY,New York,Schoharie County NY,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"32,099",,
10580,Schenectady County,NY,New York,Schenectady County NY,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"155,124",,
10580,Rensselaer County,NY,New York,Rensselaer County NY,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"159,835",,
10580,Saratoga County,NY,New York,Saratoga County NY,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"222,133",,
10580,Albany County,NY,New York,Albany County NY,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"305,455",,
10620,Stanly County,NC,North Carolina,Stanly County NC,"Albemarle, NC",Micropolitan Statistical Area,"60,576",,
10660,Freeborn County,MN,Minnesota,Freeborn County MN,"Albert Lea, MN",Micropolitan Statistical Area,"31,054",,
10700,Marshall County,AL,Alabama,Marshall County AL,"Albertville, AL",Micropolitan Statistical Area,"94,776",,
10740,Torrance County,NM,New Mexico,Torrance County NM,"Albuquerque, NM",Metropolitan Statistical Area,"16,021",,
10740,Valencia County,NM,New Mexico,Valencia County NM,"Albuquerque, NM",Metropolitan Statistical Area,"76,631",,
10740,Sandoval County,NM,New Mexico,Sandoval County NM,"Albuquerque, NM",Metropolitan Statistical Area,"135,588",,
10740,Bernalillo County,NM,New Mexico,Bernalillo County NM,"Albuquerque, NM",Metropolitan Statistical Area,"673,460",,
