recid,searchtext
5498,"Agadez, Niger"
6604,"Tabriz, Iran"
206,"Ames, United States"
1760,"Apsheronsk, Russia"
2012,"Agapa, Russia"
2163,"Guasave, Mexico"
2225,"Pochutla, Mexico"
2633,"Tongling, China"
2985,"Anlu, China"
3327,"Berekum, Ghana"
3452,"Melun, French Republic"
3666,"Shahrud, Iran"
4081,"Sumy, Ukraine"
4167,"Pinheiro, Brazil"
4400,"Hinton, Canada"
4509,"Salluit, Canada"
5005,"Baranavichy, Belarus"
5098,"Katoomba, Australia"
5217,"Smithton, Australia"
5487,"Bilbao, Kingdom of Spain"
5826,"La Paz, Mexico"
5886,"Wonsan, Korea, North"
5997,"Amman, Jordan"
6397,"Sekondi, Ghana"
6532,"Kirkuk, Iraq"
6841,"Dawson, Canada"
6870,"Fredericton, Canada"
6927,"Santa Fe, Argentina"
7129,"Whyalla, Australia"
7176,"Sittwe, Myanmar"
7266,"Uummannaq, Denmark"
887,"My Tho, Vietnam"
3232,"Otsu, Japan"
3602,"Pori, Finland"
5319,"Paramaribo, Suriname"
5693,"Tver, Russia"
7313,"Oymyakon, Russia"
