cartodb_id,mean_lateness,late_count,                  longitude,latitude,created_at,updated_at
1,0,0,                  16.5607329,48.1199611,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
2,0,0,                  -75.96557,4.58971,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
3,0,0,                  7.6493752,45.1974684,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
4,0,0,                  -58.5363498,-34.8222787,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
5,0,0,                  -6.2443635,53.4269294,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
6,0,0,                  5.3810421,43.2976116,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
7,0,0,                  2.0797638,41.300621,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
8,0,0,                  -75.9976624,37.8250646,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
9,4.166666666666666,7,                  2.5711,49.004,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
10,0,0,                  30.808439,36.922395,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
11,0,0,                  33.6112819,34.8703004,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
12,50,3,                  -43.3719988,-22.9869915,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
13,0,0,                  -84.208889,9.993611,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
14,6.779661016949152,4,                  11.7815595,48.3539793,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
15,0,0,                  -0.702779,44.8290889,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
131,0,0,                  8.5619,47.4504,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
16,0,0,                  26.0814212,44.4961161,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
17,0,0,                  37.739722,48.073611,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
18,0,0,                  -1.6020495,47.157322,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
19,0,0,                  -2.8549266,53.3373089,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
20,2.7777777777777777,1,                  5.0824465,45.7198116,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
21,0,0,                  51.6096913,25.2575385,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
22,0,0,                  6.7648066,51.2793556,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
