id_evento,nombre,fecha,artistas,horario,club_id,club_nombre,club_imagen,direccion,poblacion,provincia,pais,estilo,direccion completa
169178,Fabriclive,2011-02-25,"R1: PLAYAZ + DJ Hype + Andy C + Netsky + Pascal + Hazard + Randall b2b Vapour + Jaydan + IC3 + 2 Shy + Funsta MC + Fats + AD
R2: TRUE TIGER: Plastician + Sukh Knight + Scandalous Unltd + Blue Bear + Stenchman + Hosted by MC Chunky
R3: ...",22:00-06:00h,709,Fabric,fabric_logo.jpg,77a Charterhouse St.,London,Extranjero,UK,Breaks,"77a Charterhouse St., London, UK"
170917,CONTROL,2011-02-25,Designer Drugs + Mustard Pimp + Lucky Date ft Sue Cho,22:00h,804,Avalon,Avaland_140.jpg,1735 Vine Street,Hollywood. California,Extranjero,USA,House,"1735 Vine Street, Hollywood. California, USA"
170960,World League,2011-02-25,Steve Bug,Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,Alemania,Techno,"Sin confirmar, Sin confirmar, Alemania"
172552,"",2011-02-25,"Bar: Rui Vargas & Dexter
Disco: Zip + Joao Maria",Sin confirmar,866,Lux,Lux_Fragil.jpg,Av. Infante D.Henrique,Lisboa,Extranjero,Portugal,Techno,"Av. Infante D.Henrique, Lisboa, Portugal"
172553,Baubau,2011-02-25,Der Dritte Raum,00:00h,1,No Disponible,"","","",Extranjero,Alemania,Techno,", , Alemania"
172843,Suicide Circus meets Off Rec.,2011-02-25,"Chris Lattner + Andre Crom + Jacob Richter + Fresh Meat + Fumee Grise + Peak
",00:00h,2428,Suicide Circus,nologo.jpg,Revaler Strasse 99,Berlín,Extranjero,Alemania,Techno,"Revaler Strasse 99, Berlín, Alemania"
172971,"",2011-02-25,Lula + Pablo Sánchez,23:30-06:00h,1765,Marula Café,MarulaCafe_Barcelona_140.jpg,Escudellers 49,Barcelona,Barcelona,España,Rare Groove,"Escudellers 49, Barcelona, España"
172982,"",2011-02-25,"Alex Nomaklimato + Krix Moon
",00:00-06:00h,1299,Komplot,Komplot_SanSebastian_140.jpg,Pedro Egaña 5,San Sebastián,Guipúzcoa,España,House,"Pedro Egaña 5, San Sebastián, España"
172983,PRE-PARTY MANIATIKS FAMILY CLUB,2011-02-25,"JL Fernandez + Carlos Pulido + Santos
",00:00-06:00h,1,No Disponible,"","","",Toledo,España,House,", , España"
173002,Nitsa,2011-02-25,"JUAN B + KOSMOS
Vj: Somni",00:30h,89,Apolo,SalaApolo_BCN_140.jpg,Nou de la Rambla 113,Barcelona,Barcelona,España,Techno,"Nou de la Rambla 113, Barcelona, España"
173010,La [2] de Nitsa,2011-02-25,LÜGER (Giradiscos/ Mad) + DJ COCO + PEGATAS,00:30h,705,La [2] de Apolo,SalaApolo2_BCN_140.jpg,Nou de la Rambla 113,Barcelona,Barcelona,España,Indie,"Nou de la Rambla 113, Barcelona, España"
173299,Pop & Dance Club,2011-02-25,"GATO (Barcelona) + GRAHAM THUNDER
",00:00-06:00h,467,Yasta,Yasta_Logo.jpg,Valverde 10,Madrid,Madrid,España,Indie,"Valverde 10, Madrid, España"
173305,"",2011-02-25,"MUMDANCE + CALVERTRON + HOSTAGE + KESMO
",00:00h,749,Nouveau Casino,Nouveau_Casino_Paris.jpg,109 Rue Oberkampf,Paris,Extranjero,Francia,Electro,"109 Rue Oberkampf, Paris, Francia"
173321,Into The Groove,2011-02-25,"MAIN ROOM: BLONDES (Live, NYC) + Lil Tony & DJ Anonymous
",22:00h,2655,Yk,Yk_Helsinki_140.jpg,Pohjoinen Rautatiekatu 21,Helsinki,Extranjero,Finlandia,Electro,"Pohjoinen Rautatiekatu 21, Helsinki, Finlandia"
173325,JAHTARI LABEL NIGHT,2011-02-25,"up: jahtari label night: CLAUSE FOUR (London, UK) + JAHTARI (Disrupt, aDUBtion) + SOLO BANTON (London, UK) + TAPES (London)",20:00h,1025,Distillery,Distillery_Leipzig.jpg,Kurt-Eisner Strasse 108a,Leipzig,Extranjero,Alemania,Rare Groove,"Kurt-Eisner Strasse 108a, Leipzig, Alemania"
173338,"Fette, Fette Party",2011-02-25,K.I.Z Soundsystem + Said + Jom + Kalusha + Ufo 361 + Bones & Mosh 36 + Menschenfleish + Moderation & Beat Box Show + Bee.Low & Elle 361,23:00h,832,Maria,Maria_Berlin.jpg,Stralauer Platz 33-34,Berlín,Extranjero,Alemania,Hip Hop,"Stralauer Platz 33-34, Berlín, Alemania"
173339,Basstheworld At Club Josef,2011-02-25,Stagga + Dj Maxximus + Mackjiggah + Scratch,23:00h,832,Maria,Maria_Berlin.jpg,Stralauer Platz 33-34,Berlín,Extranjero,Alemania,Breaks,"Stralauer Platz 33-34, Berlín, Alemania"
173357,Acid Test,2011-02-25,"SHONKY + KATE SIMKO + KIDDO
",22:00h,805,Smartbar,Smartbar_Chicago.jpg,3730 N. Clark St.,Chicago,Extranjero,USA,Techno,"3730 N. Clark St., Chicago, USA"
173380,TOCA,2011-02-25,Special Guest DJs,22:00-04:00h,842,Cielo,Cielo_NYC.jpg,18 Little West 12th Street,Nueva York,Extranjero,USA,House,"18 Little West 12th Street, Nueva York, USA"
173395,Sync,2011-02-25,"Rodriguez Jr (Mobilee recs, FR) + Jeff Moore + Sab Titos",23:00-10:00h,1841,Catwalk,catwalk_Rotterdam_140.jpg,Weena Zuid 33,Rotterdam,Extranjero,Holanda,Techno,"Weena Zuid 33, Rotterdam, Holanda"
173396,Danzoo: Tresor,2011-02-25,"Steve Rachmad + The Advent + Miki Craven + Tony Méndez & Serious Beat
",00:00-06:00h,707,Macumba,Macumba_Madrid_140.jpg,Plaza Estación de Chamartín s/n,Madrid,Madrid,España,Techno,"Plaza Estación de Chamartín s/n, Madrid, España"
173419,"",2011-02-25,"Motor (Live) (Shitkatapult / NYC, FR) + DJohnston + Pau Roca (Libido / BCN)
Redrum: NoMen DJ",01:00-06:00h,405,BeCool,be_cool_140.jpg,"Plaça Joan Llongueras, 5",Barcelona,Barcelona,España,House,"Plaça Joan Llongueras, 5, Barcelona, España"
173445,"",2011-02-25,JOE CLAUSELL + The Djoon Experience,23:00-05:30h,1554,Djoon,Djoon_Paris_140.jpg,22-24 Boulevard Vincent Auriol,Paris,Extranjero,Francia,House,"22-24 Boulevard Vincent Auriol, Paris, Francia"
173463,LOVING,2011-02-25,"JOHANNES HEIL (Cocoon, Hessen) + MAXIM TERENTJEV (Vorsicht Glas, München) + HEIKE REICH (female pressure, Prinzip, München) + tps nostromo (volxvergnuegen, München)
",23:00h,728,Harry Klein,Harry_Klein.jpg,Friedenstrasse 10,Munich,Extranjero,Alemania,Techno,"Friedenstrasse 10, Munich, Alemania"
173488,"",2011-02-25,"EXCISION (Kelowna, British Columbia) + DOWNLINK (Kelowna, British Columbia) + ANTISERUM (San Fransisco, California) + ROYAL HIGHNUSS & DROOPY (Dallas, Tx)",21:00-03:00h,863,Lizard Lounge,LizardLounge_Dallas_140.jpg,2424 Swiss Ave.,Dallas,Extranjero,USA,Trance,"2424 Swiss Ave., Dallas, USA"
173489,POKER FLAT & MOBILEE 2E2L - TOO EARLY TO BE LATE RELEASE PARTY,2011-02-25,"MARTIN LANDSKY (POKER FLAT, MOBILEE, BERLIN)",23:00h,750,Womb,Womb_Tokyo.jpg,"2-16 Maruyama-Cho, Shibuyaku",Tokyo,Extranjero,Japón,Techno,"2-16 Maruyama-Cho, Shibuyaku, Tokyo, Japón"
173513,Sankeys Friday Edition,2011-02-25,Wolfgang Gartner,22:00h,717,Sankeys,Sankeys_UK_140.jpg,Radium Street,Manchester,Extranjero,UK,Techno,"Radium Street, Manchester, UK"
173535,"",2011-02-25,David Navascues,00:30h,174,Etxekalte,Etxekalte.jpg,Mari 1,San Sebastián,Guipúzcoa,España,Rare Groove,"Mari 1, San Sebastián, España"
173539,"",2011-02-25,ROGER SHAH + Alain Octavo,21:00h,1154,Ruby Skye,Ruby_Skye_SF.jpg,420 Mason Street,San Francisco,Extranjero,USA,House,"420 Mason Street, San Francisco, USA"
