region,subregion,Country,2002,2003,2004,2005,2006
AFRICA,East Africa,Burundi,No Report,No Report,No Report,1.4,No Report
AFRICA,East Africa,Kenya,18.584,3.93,1142.795,10.476,10.768
AFRICA,East Africa,Mauritius,No Report,No Report,No Report,No Report,2.149
AFRICA,East Africa,Rwanda,4.0,No Report,35.009,No Report,No Report
AFRICA,East Africa,United Republic of Tanzania,2.461,1.727,0.62,0.362,4.131
AFRICA,North Africa,Algeria,0.268,9.508,0.152,0.07,7.773
AFRICA,North Africa,Egypt,4.07,0.55,2.03,0.053,0.07
AFRICA,North Africa,Libyan Arab Jamahiriya,0.359,2.06,0.011,0.151,0.032
AFRICA,North Africa,Morocco,15.801,2.59,4.004,843.047,53.66
AFRICA,North Africa,Morocco,15,77,,,
AFRICA,North Africa,Sudan,No Report,1.922,2.0,No Report,No Report
AFRICA,North Africa,Tunisia,1.055,0.54,1.005,0.03,29.667
AFRICA,Southern Africa,Angola,No Report,No Report,No Report,8.988,No Report
AFRICA,Southern Africa,Botswana,No Report,No Report,No Report,0.6,0.157
AFRICA,Southern Africa,Malawi,No Report,20.283,2.394,No Report,No Report
AFRICA,Southern Africa,Mozambique,No Report,15.0,No Report,21.8,2.02
AFRICA,Southern Africa,Namibia,0.189,0.056,15.493,0.197,0.908
AFRICA,Southern Africa,Namibia,178,176,257,,
AFRICA,Southern Africa,South Africa,436.499,776.726,593.041,309.561,360.253
AFRICA,Southern Africa,Swaziland,1.058,4.568,No Report,0.7,No Report
AFRICA,Southern Africa,Zambia,17.3,0.055,0.0060,2.0,0.073
AFRICA,Southern Africa,Zimbabwe,No Report,No Report,0.0060,0.0050,0.0020
AFRICA,West and Central Africa,Benin,0.05,0.013,291.67,28.193,28.2
AFRICA,West and Central Africa,Burkina Faso,No Report,0.028,0.163,0.028,0.011
AFRICA,West and Central Africa,Cameroon,No Report,No Report,2.4,2.004,4.4
AFRICA,West and Central Africa,Cape Verde,41.824,113.267,335.68,157.0,42.125
AFRICA,West and Central Africa,Congo,0.611,0.8,8.005,0.2,1.4
AFRICA,West and Central Africa,CÙte d'Ivoire,3.15,No Report,No Report,0.07,0.445
AFRICA,West and Central Africa,Gabon,No Report,No Report,No Report,0.1,0.108
AFRICA,West and Central Africa,Gambia,No Report,0.107,No Report,17.137,No Report
