Country,geometry
,"<Point><coordinates>121.975,36.975</coordinates></Point>"
,"<Point><coordinates>122.025,36.975</coordinates></Point>"
Japan,"<Point><coordinates>137.625,36.975</coordinates></Point>"
Japan,"<Point><coordinates>137.975,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.025,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.075,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.125,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.225,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.275,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.325,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.575,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.625,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.675,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.725,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.775,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.825,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.875,36.975</coordinates></Point>"
Japan,"<Point><coordinates>138.975,36.975</coordinates></Point>"
Japan,"<Point><coordinates>139.025,36.975</coordinates></Point>"
Japan,"<Point><coordinates>139.075,36.975</coordinates></Point>"
Japan,"<Point><coordinates>139.125,36.975</coordinates></Point>"
Japan,"<Point><coordinates>139.175,36.975</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.925</coordinates></Point>"
Japan,"<Point><coordinates>137.625,36.925</coordinates></Point>"
Japan,"<Point><coordinates>137.675,36.925</coordinates></Point>"
Japan,"<Point><coordinates>137.725,36.925</coordinates></Point>"
Japan,"<Point><coordinates>137.775,36.925</coordinates></Point>"
Japan,"<Point><coordinates>137.825,36.925</coordinates></Point>"
Japan,"<Point><coordinates>137.975,36.925</coordinates></Point>"
Japan,"<Point><coordinates>138.125,36.925</coordinates></Point>"
Japan,"<Point><coordinates>138.175,36.925</coordinates></Point>"
Japan,"<Point><coordinates>138.225,36.925</coordinates></Point>"
Japan,"<Point><coordinates>138.275,36.925</coordinates></Point>"
Japan,"<Point><coordinates>138.525,36.925</coordinates></Point>"
Japan,"<Point><coordinates>138.675,36.925</coordinates></Point>"
Japan,"<Point><coordinates>138.725,36.925</coordinates></Point>"
Japan,"<Point><coordinates>138.975,36.925</coordinates></Point>"
Japan,"<Point><coordinates>139.025,36.925</coordinates></Point>"
Japan,"<Point><coordinates>139.075,36.925</coordinates></Point>"
Japan,"<Point><coordinates>139.525,36.925</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.875</coordinates></Point>"
Japan,"<Point><coordinates>137.675,36.875</coordinates></Point>"
Japan,"<Point><coordinates>137.725,36.875</coordinates></Point>"
Japan,"<Point><coordinates>137.775,36.875</coordinates></Point>"
Japan,"<Point><coordinates>137.825,36.875</coordinates></Point>"
Japan,"<Point><coordinates>137.975,36.875</coordinates></Point>"
Japan,"<Point><coordinates>138.025,36.875</coordinates></Point>"
Japan,"<Point><coordinates>138.275,36.875</coordinates></Point>"
Japan,"<Point><coordinates>138.325,36.875</coordinates></Point>"
Japan,"<Point><coordinates>138.625,36.875</coordinates></Point>"
Japan,"<Point><coordinates>138.725,36.875</coordinates></Point>"
Japan,"<Point><coordinates>138.975,36.875</coordinates></Point>"
Japan,"<Point><coordinates>139.325,36.875</coordinates></Point>"
United States of America,"<Point><coordinates>-85.275,36.825</coordinates></Point>"
Japan,"<Point><coordinates>137.625,36.825</coordinates></Point>"
Japan,"<Point><coordinates>137.675,36.825</coordinates></Point>"
Japan,"<Point><coordinates>137.725,36.825</coordinates></Point>"
Japan,"<Point><coordinates>137.775,36.825</coordinates></Point>"
