district,place,ind,dem,proch,,
CENTRAL AND WESTERN DISTRICT,Joint Professional Centre,87,1040,761,,
CENTRAL AND WESTERN DISTRICT,Hong Kong Park Sports Centre,96,1053,1290,,
CENTRAL AND WESTERN DISTRICT,Raimondi College,256,2940,2296,,
CENTRAL AND WESTERN DISTRICT,German Swiss International School,35,336,394,,
CENTRAL AND WESTERN DISTRICT,St. Stephen's Girls'  Primary School,323,3293,2436,,
CENTRAL AND WESTERN DISTRICT,HKYWCA Western District Integrated Social Service Centre,240,2009,1676,,
CENTRAL AND WESTERN DISTRICT,Smithfield Sports Centre,244,2092,2183,,
CENTRAL AND WESTERN DISTRICT,Kennedy Town Community Complex (Multi-purpose Function Room),305,2712,2283,,
CENTRAL AND WESTERN DISTRICT,St. James' Settlement Belcher Kindergarten Child Care Centre,273,2520,2047,,
CENTRAL AND WESTERN DISTRICT,Shek Tong Tsui Sports Centre,366,2650,2615,,
CENTRAL AND WESTERN DISTRICT,Central and Western/ Islands Social Security Field Unit,82,549,679,,
CENTRAL AND WESTERN DISTRICT,Sun Yat Sen Memorial Park Sports Centre,52,570,566,,
CENTRAL AND WESTERN DISTRICT,Sheung Wan Post Office,164,1471,1309,,
CENTRAL AND WESTERN DISTRICT,San Wui Commercial Society School,55,736,513,,
CENTRAL AND WESTERN DISTRICT,SKH St. Matthew's Primary School,129,1205,994,,
CENTRAL AND WESTERN DISTRICT,Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School,251,2006,1447,,
CENTRAL AND WESTERN DISTRICT,Li Sing Primary School,196,1780,1354,,
WAN CHAI DISTRICT,Hennessy Road Government Primary School,207,1713,1499,,
WAN CHAI DISTRICT,Tang Shiu Kin Victoria Government Secondary School,159,1301,1143,,
WAN CHAI DISTRICT,German Swiss International School Wanchai Campus (Former Wanchai School),179,1723,1500,,
WAN CHAI DISTRICT,"Wan Chai District Arts, Cultural, Recreational & Sports Association",169,1624,1370,,
WAN CHAI DISTRICT,Wan Chai District Women's Association,123,1581,1248,,
WAN CHAI DISTRICT,CCC Kung Lee College,159,1494,1528,,
WAN CHAI DISTRICT,Leighton Hill Community Hall,165,1543,1361,,
WAN CHAI DISTRICT,Wong Nai Chung Sports Centre,166,1554,1134,,
WAN CHAI DISTRICT,Marymount Secondary School,36,323,473,,
WAN CHAI DISTRICT,Precious Blood Primary School,37,304,321,,
WAN CHAI DISTRICT,Wan Chai Post Office,122,895,725,,
WAN CHAI DISTRICT,Methodist Centre,149,1303,1373,,
EASTERN DISTRICT,Eastern District JPC Club House,147,1423,1189,,
EASTERN DISTRICT,Tai Koo Shing Post Office,164,1638,1247,,
EASTERN DISTRICT,Delia School of Canada,347,3446,2212,,
EASTERN DISTRICT,Sai Wan Ho Health Centre,267,2168,1582,,
EASTERN DISTRICT,CCC Kei Wan Primary School (Aldrich Bay),472,2622,2583,,
EASTERN DISTRICT,Shau Kei Wan Post Office,211,1469,1159,,
EASTERN DISTRICT,Aldrich Bay Government Primary School,204,1528,1146,,
EASTERN DISTRICT,Shaukeiwan Government Primary School,193,1426,1478,,
EASTERN DISTRICT,Lingnan Secondary School,351,3760,2726,,
EASTERN DISTRICT,SKH Li Fook Hing Secondary School,246,1511,2335,,
EASTERN DISTRICT,Fukien Secondary School (Siu Sai Wan),381,2675,2123,,
EASTERN DISTRICT,Siu Sai Wan Community Hall,263,2308,2447,,
EASTERN DISTRICT,Pui Kiu Primary School,374,3122,2516,,
EASTERN DISTRICT,The Salvation Army Centaline Charity Fund School,241,1704,1977,,
EASTERN DISTRICT,Cognitio College (Hong Kong),239,1844,1862,,
EASTERN DISTRICT,Quarry Bay Sports Centre,328,2370,2613,,
EASTERN DISTRICT,Man Kiu College,178,1836,2063,,
EASTERN DISTRICT,The International Montessori School - An IMEF School,58,659,480,,
EASTERN DISTRICT,True Light Middle School of Hong Kong,159,949,958,,
EASTERN DISTRICT,SKH St. Michael's Primary School,170,1582,1082,,
EASTERN DISTRICT,Queen’s College,202,1475,1312,,
