line,name,url,created_at,updated_at,the_geom,cartodb_id,the_geom_webmercator
F,819 8 Avenue,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000003492EFDAA57E52C06B11A89F37554440,407,0101000020110F000076C0309E466A5FC1DEED3169D7EE5241
A-C,2152 Fulton Street,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000526F62014C7A52C0E3F9A14ACD564440,497,0101000020110F0000471AC7A1E2625FC1EC5557AB9DF05241
N-Q,31st St & 36th Ave At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000E2EC1C84807B52C09E7C15F4DE604440,1132,0101000020110F0000FE7718ABEE645FC1A9AAF10DE6FB5241
1-2-3,Broadway & 96th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000E31EF523457E52C05E29B6368D654440,1182,0101000020110F000016059356A2695FC1BF4C0FEC25015341
D,9th Ave & New Utrecht Ave At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000021C68BD2A57F52C029096862BA524440,1532,0101000020110F000031256E67F96B5FC14D5394030EEC5241
7,69th St & Roosevelt Ave At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000038DB77BB5E7952C0E1BFA5E8815F4440,1681,0101000020110F0000773F85994F615FC17C1F05BC5EFA5241
N-Q-R,7th Ave & 55th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000006ECBF235CB7E52C0715E12F1D6614440,1310,0101000020110F0000A6FCED11866A5FC1D78AD01DFCFC5241
2-3-4-5-A-C-J-Z,2 Ann Street,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000020B697158A8052C01A409BF4F75A4440,50,0101000020110F00009DB83C217D6D5FC12F4EFC7F48F55241
G,567 Marcy Avenue,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000000A8A4A94BD7C52C0D974694606594440,1412,0101000020110F000088FF693B09675FC1369280F21AF35241
G,628 Manhattan Avenue,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000009D6B1F8CD87C52C0BB1547EBA85C4440,459,0101000020110F00001746440A37675FC10B5B50A72DF75241
4-6-6 Express,47 East 22 Street (Downtown Only),http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000000565D1A92B7F52C0315139A3AD5E4440,618,0101000020110F000096038EE7296B5FC1FCD2C1C870F95241
G-L,566 Lorimer Street,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000F281FD2AC07C52C0CE30695A625B4440,1404,0101000020110F00005C3D13A10D675FC1E36FCAB6BFF55241
D,25th Ave & 86th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000051E02998317F52C0FBBD206E874C4440,1504,0101000020110F00001D1A9EFA336B5FC1DCEC7F4D1EE55241
F-G,Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000034D5CE9D607F52C0334AFAB3E6574440,1,0101000020110F0000CF92C4D9836B5FC1298A6AD6D8F15241
2-3-4-5-N-R,Court St & Montague St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000DFB5B344677F52C0563F13FBCB584440,2,0101000020110F0000AF054E268F6B5FC1EAB1FAA5D9F25241
2-3-4-5-N-R,Court St & Montague St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000008FF4FBDB657F52C062EDD042C9584440,3,0101000020110F000098DC96C18C6B5FC13B97119AD6F25241
