storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,zipcode,type_store,latitude,longitude
1,Sun Jul 01 00:00:00 -0400 1962,Sat Mar 01 00:00:00 -0500 1997,1,05,007,2110 WEST WALNUT,Rogers,AR,72756,Supercenter,36.334145,-94.148036
2,Sat Aug 01 00:00:00 -0400 1964,Fri Mar 01 00:00:00 -0500 1996,1,05,009,1417 HWY 62/65 N,Harrison,AR,72601,Supercenter,36.203334,-92.966037
3,Tue Apr 12 00:00:00 -0400 1988,Wed Mar 01 00:00:00 -0500 2000,1,13,011,30983 HWY 441 SOUTH,Commerce,GA,30529,Supercenter,34.24863,-83.459929
4,Sun Aug 01 00:00:00 -0400 1965,Fri Mar 01 00:00:00 -0500 2002,1,05,007,2901 HWY 412 EAST,Siloam Springs,AR,72761,Supercenter,36.181117,-94.513179
5,Mon May 01 00:00:00 -0400 1972,Tue Mar 01 00:00:00 -0500 1994,1,05,045,1155 HWY 65 NORTH,Conway,AR,72032,Supercenter,35.110687,-92.439708
7,Sun Oct 01 00:00:00 -0400 1967,,,05,119,3801 CAMP ROBINSON RD.,North Little Rock,AR,72118,Wal-Mart,34.790476,-92.275897
8,Sun Oct 01 00:00:00 -0400 1967,Mon Mar 01 00:00:00 -0500 1993,1,05,029,1621 NORTH BUSINESS 9,Morrilton,AR,72110,Supercenter,35.131691,-92.72818
9,Fri Mar 01 00:00:00 -0500 1968,Wed Mar 01 00:00:00 -0500 2000,1,29,143,1303 SOUTH MAIN,Sikeston,MO,63801,Supercenter,36.86933,-89.579482
10,Mon Jul 01 00:00:00 -0400 1968,Sun Mar 01 00:00:00 -0500 1998,1,40,021,2020 SOUTH MUSKOGEE,Tahlequah,OK,74464,Supercenter,35.890855,-94.977187
11,Fri Mar 01 00:00:00 -0500 1968,Wed Feb 20 00:00:00 -0500 2002,1,05,005,65 WAL-MART DRIVE,Mountain Home,AR,72653,Supercenter,36.452566,-92.465717
12,Mon Jul 01 00:00:00 -0400 1968,Tue Mar 01 00:00:00 -0500 1994,1,40,131,1500 LYNN RIGGS BLVD,Claremore,OK,74017,Supercenter,36.32548,-95.60734
13,Fri Nov 01 00:00:00 -0500 1968,Fri Mar 01 00:00:00 -0500 1996,1,29,097,2705 GRAND AVE,Carthage,MO,64836,Supercenter,37.141918,-94.310477
14,Tue Apr 01 00:00:00 -0500 1969,Mon Mar 01 00:00:00 -0500 1999,1,29,105,1800 S JEFFERSON,Lebanon,MO,65536,Supercenter,37.658495,-92.649472
15,Thu May 01 00:00:00 -0400 1969,Wed Mar 01 00:00:00 -0500 1995,1,29,091,1310 PREACHER RD/HGWY 160,West Plains,MO,65775,Supercenter,36.727714,-91.860475
16,Tue Apr 01 00:00:00 -0500 1969,Wed Mar 01 00:00:00 -0500 2000,1,05,033,2214 FAYETTEVILLE RD,Van Buren,AR,72956,Supercenter,35.469947,-94.356251
17,Thu May 01 00:00:00 -0400 1969,Mon Mar 01 00:00:00 -0500 1993,1,29,145,3200 LUSK DRIVE,Neosho,MO,64850,Supercenter,36.841485,-94.394421
18,Sat Nov 01 00:00:00 -0500 1969,,,05,067,2500 MALCOLM ST/HWY 67 NORTH,Newport,AR,72112,Wal-Mart,35.71028,-91.21215
19,Tue Apr 03 00:00:00 -0400 1990,Tue Apr 03 00:00:00 -0400 1990,0,29,023,333 S WESTWOOD,Poplar Bluff,MO,63901,Supercenter,36.755411,-90.408144
20,Thu Oct 01 00:00:00 -0400 1970,Mon Mar 01 00:00:00 -0500 1999,1,29,083,1712 EAST OHIO,Clinton,MO,64735,Supercenter,38.366172,-93.749461
21,Sun Mar 01 00:00:00 -0500 1970,Wed Aug 22 00:00:00 -0400 2001,1,29,169,185 ST ROBERT BLVD,St. Robert,MO,65584,Supercenter,37.82642,-92.146829
22,Thu Oct 01 00:00:00 -0400 1970,Wed May 18 00:00:00 -0400 2005,1,40,097,4901 SO. MILL ROAD,Pryor,OK,74361,Supercenter,36.3062,-95.319049
23,Sun Nov 01 00:00:00 -0500 1970,Tue Mar 01 00:00:00 -0500 1994,1,22,061,1201 N SERVICE ROAD EAST,Ruston,LA,71270,Supercenter,32.516689,-92.0807
24,Thu Apr 01 00:00:00 -0500 1971,Mon Mar 01 00:00:00 -0500 1999,1,05,119,2000 JOHN HARDEN DR,Jacksonville,AR,72076,Supercenter,34.883828,-92.11035
25,Mon Feb 01 00:00:00 -0500 1971,Wed May 18 00:00:00 -0400 2005,1,29,007,4820 SO. CLARK ST,Mexico,MO,65265,Supercenter,39.170871,-91.884766
26,Sun Nov 01 00:00:00 -0500 1970,,,20,103,3450 S. 4TH TRAFFICWAY,Leavenworth,KS,66048,Wal-Mart,39.319931,-94.914155
27,Mon Feb 01 00:00:00 -0500 1971,Mon Mar 01 00:00:00 -0500 1999,1,29,065,1101 HWY 32 WEST,Salem,MO,65560,Supercenter,37.636087,-91.546032
28,Sat May 01 00:00:00 -0400 1971,Fri Mar 01 00:00:00 -0500 2002,1,40,115,2415 N.W. MAIN ST,Miami,OK,74354,Supercenter,36.976639,-94.85117
29,Sun Aug 01 00:00:00 -0400 1971,Wed Mar 01 00:00:00 -0500 1989,1,29,051,724 STADIUM WEST BLVD,Jefferson City,MO,65109,Supercenter,38.564489,-92.185145
30,Mon Nov 01 00:00:00 -0500 1971,Wed May 18 00:00:00 -0400 2005,1,29,207,2025 BUS. HWY 60 WEST,Dexter,MO,63841,Supercenter,36.79946,-89.953355
31,Tue Jun 01 00:00:00 -0400 1971,Wed Mar 01 00:00:00 -0500 1995,1,40,079,3108 N BROADWAY,Poteau,OK,74953,Supercenter,35.045605,-94.632948
32,Tue Jun 01 00:00:00 -0400 1971,,,29,213,2050 WEST HWY 76,Branson,MO,65616,Wal-Mart,36.640851,-93.259842
33,Tue Jun 01 00:00:00 -0400 1971,Wed Sep 17 00:00:00 -0400 2003,1,05,061,1710 SO. 4TH ST,Nashville,AR,71852,Supercenter,34.045389,-93.788686
